,flag,rolling_rank_diff,rolling_rank points_diff,rolling_ace_per_svpt_diff,rolling_df_per_svpt_diff,rolling_1stIn_per_svpt_diff,rolling_1stWon_per_svpt_diff,rolling_2ndWon_per_svpt_diff,rolling_bpSaved_per_svpt_diff,rolling_bpFaced_per_svpt_diff,rolling_bpSaved_per_bpFaced_diff
7502,0,-32.733329999999995,1218.46667,0.05453000000000001,0.006840000000000002,0.01851999999999998,0.027969999999999995,-0.004189999999999999,-0.010160000000000002,-0.01464,0.0037299999999999556
7503,0,-11.600000000000001,166.20000000000005,0.01140999999999999,-0.002239999999999999,0.002829999999999999,-0.0005399999999999849,-0.010819999999999996,-0.005579999999999995,-0.003369999999999998,0.0008299999999999974
7504,0,-17.266669999999998,177.16665999999987,0.019309999999999994,3.999999999999837e-05,-0.006280000000000063,0.0020399999999999863,-0.00039000000000000146,-0.006789999999999997,-0.007830000000000004,-0.04714999999999997
7505,0,2.9666699999999935,-136.33332999999993,0.00037999999999999146,-0.0005900000000000002,0.0015600000000000058,0.0019099999999999673,3.999999999998449e-05,0.0009099999999999941,-9.999999999996123e-06,0.010099999999999998
7506,0,-48.733329999999995,1462.8,0.035,0.0035899999999999994,0.011729999999999907,0.02309,-0.008089999999999986,-0.009770000000000001,-0.010090000000000002,-0.012680000000000025
7507,0,8.299999999999997,-101.89999999999986,-0.011700000000000002,-0.0005399999999999988,0.007310000000000039,0.0046700000000000075,-0.006099999999999994,7.000000000000062e-05,0.0002299999999999941,-0.00761999999999996
7508,0,42.56667,-1455.86667,-0.04655999999999999,-0.0021899999999999975,-0.004809999999999981,-0.018479999999999996,0.002040000000000014,0.008469999999999998,0.010030000000000011,-0.011940000000000006
7509,0,-2.2666699999999977,964.4666599999998,0.04050000000000001,0.00324,0.008730000000000016,0.01961999999999997,9.999999999998899e-05,-0.00791,-0.009109999999999993,-0.054389999999999994
7510,0,21.166660000000007,-158.0999999999999,-0.014669999999999989,-0.0036500000000000005,0.009190000000000031,-0.0040799999999999725,-0.014750000000000013,0.012119999999999999,0.01625,0.02340999999999993
7511,1,-48.099999999999994,119.06667000000016,0.021500000000000005,0.0005800000000000041,-0.017289999999999917,0.006919999999999982,0.029219999999999996,-0.017410000000000002,-0.02646000000000001,-0.028579999999999994
7512,1,-4.100000000000001,298.20000000000005,-0.011799999999999991,0.005160000000000005,0.0011400000000000299,-0.008529999999999982,0.009090000000000015,0.007420000000000003,0.011520000000000002,-0.012880000000000003
7513,1,9.400000000000006,-88.76666,-0.004820000000000005,-0.00503,0.01212000000000002,0.003709999999999991,-0.012660000000000005,0.0032099999999999976,0.004919999999999994,-0.005390000000000006
7514,1,2.0333299999999994,-166.03332999999998,-0.0047699999999999965,0.007149999999999997,-0.0042999999999999705,-0.011709999999999998,0.014599999999999974,0.005209999999999999,0.007769999999999999,0.004630000000000023
7515,1,9.800000000000004,-467.10000000000014,-0.006280000000000008,0.007050000000000001,-0.0011100000000000554,-0.011919999999999986,0.01124,0.00938,0.009720000000000006,0.04244999999999999
7516,1,-33.63333,1068.33333,0.04562999999999999,0.005539999999999996,0.005579999999999918,0.016790000000000027,-0.0035300000000000054,-0.009000000000000001,-0.012579999999999994,0.01851999999999998
7517,0,-23.36667,933.03333,0.035260000000000014,0.006069999999999999,0.012260000000000049,0.022779999999999967,0.013020000000000004,-0.0028900000000000037,-0.009389999999999996,0.02703
7518,0,-18.099999999999994,301.83333000000005,0.019809999999999994,0.0026300000000000004,-0.011759999999999993,-0.00040999999999996595,0.00914000000000001,-0.007429999999999999,-0.010699999999999987,-0.04377000000000003
7519,0,21.233329999999995,-901.0666700000002,-0.02643000000000001,-0.008360000000000003,-0.011500000000000066,-0.012460000000000027,-0.004060000000000008,-0.0013299999999999979,0.0011399999999999882,-0.05126999999999998
7520,1,30.733340000000005,-919.3666599999999,-0.02842,0.0025500000000000037,-0.01161000000000001,-0.02582000000000001,-0.0030799999999999994,0.009820000000000002,0.012840000000000004,0.06956000000000001
7521,1,24.466670000000008,68.33333999999991,0.0020999999999999908,0.004709999999999999,0.007770000000000055,-0.0005799999999999694,-0.005229999999999985,0.0036600000000000035,0.004830000000000001,0.024609999999999965
7522,1,4.299999999999997,382.8666599999999,0.011619999999999991,0.004880000000000002,0.01042999999999994,0.0049899999999999944,0.0036700000000000066,0.005390000000000006,0.005199999999999996,-0.011660000000000004
7523,1,-34.06667000000001,387.8666700000001,0.041429999999999995,0.007650000000000004,-0.0013900000000000023,0.012490000000000001,0.029299999999999993,-0.009219999999999999,-0.01619000000000001,-0.039319999999999966
7524,1,-5.366669999999999,453.43333000000007,0.020400000000000015,-0.002829999999999999,-0.0036000000000000476,0.01157999999999998,-0.00990000000000002,-0.007040000000000005,-0.008209999999999995,-0.003520000000000023
7525,0,17.0,203.5,-0.02359,0.00040999999999999717,-0.018970000000000042,-0.020440000000000014,0.0032099999999999906,0.0075899999999999995,0.013380000000000003,-0.055540000000000034
7526,1,-10.866659999999996,452.2333400000002,0.023750000000000007,0.00349,0.005809999999999982,0.016679999999999973,0.015310000000000018,-0.0007300000000000015,-0.005659999999999998,-0.02355999999999997
7527,0,23.766669999999998,-556.5,-0.006699999999999998,-0.00034,0.0023499999999999632,0.0034500000000000086,-0.014920000000000017,0.0024999999999999953,0.002919999999999992,0.06459000000000004
7528,0,4.0,-493.60000000000014,-0.01781999999999999,0.004119999999999999,-0.0047800000000000065,-0.011309999999999987,0.016479999999999995,0.007640000000000001,0.006949999999999998,0.022960000000000036
7529,0,-9.133340000000004,-786.6666700000001,-0.015009999999999996,-0.0075,0.0023099999999999232,-0.000150000000000039,-0.009300000000000003,-0.004629999999999995,-0.004250000000000004,0.009669999999999956
7530,1,1.2000000000000028,-264.39999999999986,-0.027900000000000008,0.0018099999999999991,2.999999999997449e-05,-0.011219999999999952,0.012619999999999992,0.007429999999999999,0.0063600000000000045,0.02362000000000003
7531,0,14.100000000000001,3.566659999999956,0.0005300000000000027,0.0011099999999999999,-0.005090000000000039,-0.0010999999999999899,-0.00021999999999999797,0.000449999999999999,0.0021599999999999953,-0.022299999999999986
7532,0,2.4666599999999974,-50.83333999999991,-0.007060000000000011,0.0002699999999999994,-0.006820000000000048,-0.006929999999999992,0.004170000000000007,0.002150000000000006,0.0015600000000000058,0.013330000000000009
7533,1,14.366660000000003,-93.93332999999984,-0.013160000000000005,-0.012730000000000002,0.01820999999999995,0.0013000000000000234,-0.00913,0.00037000000000000227,0.0030999999999999917,-0.02617999999999998
7534,0,-52.666669999999996,535.7666700000001,0.05560999999999999,0.012770000000000004,-0.0016899999999999693,0.03652,0.007690000000000002,-0.014379999999999997,-0.022419999999999995,-0.05880999999999997
7535,0,40.76667,-384.0000000000001,-0.020129999999999995,-0.0010800000000000046,-0.006480000000000041,-0.012170000000000014,0.0007800000000000029,0.007339999999999999,0.006829999999999989,0.03870000000000001
